task_id,method,gap_pct,reference_km,length_km
28,Insertion+2opt,0.0,2.025980418950708,2.025980418950708
28,MultiStart2opt,0.0,2.025980418950708,2.025980418950708
28,MultiStart2opt-RT,0.0,2.025980418950708,2.025980418950708
29,ILS,0.0,2.4908832129936185,2.4908832129936185
29,Insertion+2opt,0.0,2.4908832129936185,2.490883212993618
29,MultiStart2opt,0.0,2.4908832129936185,2.4908832129936185
29,MultiStart2opt-RT,0.0,2.4908832129936185,2.4908832129936185
30,ILS,0.0,1.92984678853692,1.92984678853692
30,Insertion+2opt,0.2018239239958299,1.92984678853692,1.9337416810526524
30,MultiStart2opt,0.0,1.92984678853692,1.92984678853692
30,MultiStart2opt-RT,0.0,1.92984678853692,1.92984678853692
