config_id,factor,value,task_id,mean_length_km,sd_length_km,mean_runtime_s,reference_km,gap_pct
beta_4.0,beta,4.0,30,1.966453334342755,0.018843795243078682,6.976190628838959,1.9298467885369197,1.89686279881254
evaluation_budget_15000,evaluation_budget,15000.0,1,1.7739991125114165,0.0,12.528905050765024,1.7739991125114167,0.0
evaluation_budget_15000,evaluation_budget,15000.0,2,2.279975082456949,0.0,12.598283735866426,2.279975082456949,0.0
evaluation_budget_15000,evaluation_budget,15000.0,3,2.5576468577300417,0.006726109238874099,18.24695832520956,2.5554615909469742,0.08551358356584522
evaluation_budget_15000,evaluation_budget,15000.0,4,2.133617783782454,2.2742753660146406e-05,13.633682360110106,2.1335996845890683,0.0008482937786563708
evaluation_budget_15000,evaluation_budget,15000.0,5,1.8650742210238547,0.0,13.609083881560945,1.865074221023855,0.0
evaluation_budget_15000,evaluation_budget,15000.0,6,1.7564564612326241,0.0,12.50653242439148,1.756456461232624,1.2641623053338177e-14
evaluation_budget_15000,evaluation_budget,15000.0,7,1.8418822070973,0.0,8.965179402357899,1.8418822070973,0.0
evaluation_budget_15000,evaluation_budget,15000.0,8,2.4316204748950323,0.0008563193021044171,21.85909717255272,2.4314289960780373,0.007875155610295633
evaluation_budget_15000,evaluation_budget,15000.0,9,2.4122006554120246,0.0,14.778106731193839,2.412200655412025,0.0
evaluation_budget_15000,evaluation_budget,15000.0,10,2.2921008167129555,0.0129869270012519,12.559582130546914,2.284792664659961,0.31986062306806223
evaluation_budget_15000,evaluation_budget,15000.0,11,2.7604194946378646,0.05973081986191581,12.576990548090544,2.6881673361169907,2.6877850031925807
evaluation_budget_15000,evaluation_budget,15000.0,12,1.435904573700533,0.01320178751605708,16.967673711053795,1.4260236853528467,0.6928979125084673
evaluation_budget_15000,evaluation_budget,15000.0,13,2.0343969707497562,0.015360504453325657,12.49973960474017,2.026911186852802,0.36931977806968685
evaluation_budget_15000,evaluation_budget,15000.0,14,1.067134550587395,0.0,5.581718561897287,1.067134550587395,0.0
evaluation_budget_15000,evaluation_budget,15000.0,15,2.112602871122433,0.0,10.265546334988903,2.112602871122433,0.0
evaluation_budget_15000,evaluation_budget,15000.0,16,2.1608136308037635,0.0018397048335986375,19.45730511863949,2.159640501700675,0.05432057336232296
evaluation_budget_15000,evaluation_budget,15000.0,17,2.0100547196305705,0.0,7.891535470139933,2.0100547196305705,0.0
evaluation_budget_15000,evaluation_budget,15000.0,18,2.7052757751641314,0.0,19.392073448043085,2.7052757751641314,0.0
evaluation_budget_15000,evaluation_budget,15000.0,19,1.908463713665149,0.0,6.755132765567396,1.908463713665149,0.0
evaluation_budget_15000,evaluation_budget,15000.0,20,2.1697468439523346,0.0,11.404782413912471,2.169746843952334,2.0467328300896403e-14
evaluation_budget_15000,evaluation_budget,15000.0,21,2.207342884706021,0.0,7.818564461095957,2.207342884706021,0.0
evaluation_budget_15000,evaluation_budget,15000.0,22,0.6495626464756479,0.0,48.400423847412455,0.6495626464756483,0.0
evaluation_budget_15000,evaluation_budget,15000.0,23,2.01067302300028,0.0,4.542506407160545,2.01067302300028,0.0
evaluation_budget_15000,evaluation_budget,15000.0,24,1.3508272334785483,0.0,4.582808881258825,1.3508272334785485,0.0
evaluation_budget_15000,evaluation_budget,15000.0,25,1.9406169918137253,0.0,6.746898138982942,1.9406169918137255,0.0
evaluation_budget_15000,evaluation_budget,15000.0,26,2.218200980928021,0.0,11.389852193306433,2.218200980928021,0.0
evaluation_budget_15000,evaluation_budget,15000.0,27,1.9000621512377234,0.0,5.638580332096899,1.9000621512377236,0.0
evaluation_budget_15000,evaluation_budget,15000.0,28,2.025983747788145,4.654290006661001e-06,11.354923758114456,2.025980418950708,0.00016430748321522734
evaluation_budget_15000,evaluation_budget,15000.0,29,2.501985855513215,0.011083132278683416,22.98781884954078,2.4908832129936185,0.44573115518542805
evaluation_budget_15000,evaluation_budget,15000.0,30,1.9345015585953849,0.005639098081991727,13.594955359620508,1.9298467885369197,0.24119894315517587
evaluation_budget_3750,evaluation_budget,3750.0,1,1.7739991125114165,0.0,3.1612334907171316,1.7739991125114167,0.0
evaluation_budget_3750,evaluation_budget,3750.0,2,2.279975082456949,0.0,3.1617854838026687,2.279975082456949,0.0
evaluation_budget_3750,evaluation_budget,3750.0,3,2.558194772231324,0.0069802605299722435,4.612207620794652,2.5554615909469742,0.10695450458079547
evaluation_budget_3750,evaluation_budget,3750.0,4,2.133617783782454,2.2742753660146406e-05,3.495053732901579,2.1335996845890683,0.0008482937786563708
evaluation_budget_3750,evaluation_budget,3750.0,5,1.8650742210238551,1.1390647892519134e-16,3.4330474421614783,1.865074221023855,1.1905403142784165e-14
evaluation_budget_3750,evaluation_budget,3750.0,6,1.7564564612326241,0.0,3.1150442956539335,1.756456461232624,1.2641623053338177e-14
evaluation_budget_3750,evaluation_budget,3750.0,7,1.8418822070973,0.0,2.2788688434520736,1.8418822070973,0.0
evaluation_budget_3750,evaluation_budget,3750.0,8,2.4318119537120273,0.0011787187267188197,5.423350746504729,2.4314289960780373,0.015750311220591267
evaluation_budget_3750,evaluation_budget,3750.0,9,2.4122006554120246,0.0,3.713687550462782,2.412200655412025,0.0
evaluation_budget_3750,evaluation_budget,3750.0,10,2.3023322295871473,0.014693030638975776,3.1255203403474296,2.284792664659961,0.7676654953633143
evaluation_budget_3750,evaluation_budget,3750.0,11,2.7604194946378646,0.05973081986191581,3.126443788909819,2.6881673361169907,2.6877850031925807
evaluation_budget_3750,evaluation_budget,3750.0,12,1.435904573700533,0.01320178751605708,4.259938656160375,1.4260236853528467,0.6928979125084673
evaluation_budget_3750,evaluation_budget,3750.0,13,2.0418827546467107,0.01881269905119835,3.17646095470991,2.026911186852802,0.7386395561393737
evaluation_budget_3750,evaluation_budget,3750.0,14,1.067134550587395,0.0,1.4138707238074857,1.067134550587395,0.0
evaluation_budget_3750,evaluation_budget,3750.0,15,2.112858401581415,0.0011427669532090119,2.5896713724534495,2.112602871122433,0.012095527392991808
evaluation_budget_3750,evaluation_budget,3750.0,16,2.161038547233843,0.002276970398315458,4.884136048151413,2.159640501700675,0.06473510438739334
evaluation_budget_3750,evaluation_budget,3750.0,17,2.0100547196305705,0.0,2.012313344998984,2.0100547196305705,0.0
evaluation_budget_3750,evaluation_budget,3750.0,18,2.7052757751641314,0.0,4.847987891559024,2.7052757751641314,0.0
evaluation_budget_3750,evaluation_budget,3750.0,19,1.908463713665149,0.0,1.7056602042110172,1.908463713665149,0.0
evaluation_budget_3750,evaluation_budget,3750.0,20,2.1697468439523346,0.0,2.8545220410975163,2.169746843952334,2.0467328300896403e-14
evaluation_budget_3750,evaluation_budget,3750.0,21,2.207342884706021,0.0,1.9545177444932051,2.207342884706021,0.0
evaluation_budget_3750,evaluation_budget,3750.0,22,0.6495626464756479,0.0,12.039781202760059,0.6495626464756483,0.0
evaluation_budget_3750,evaluation_budget,3750.0,23,2.01067302300028,0.0,1.1357126035960392,2.01067302300028,0.0
evaluation_budget_3750,evaluation_budget,3750.0,24,1.3508272334785483,0.0,1.1366048841970042,1.3508272334785485,0.0
evaluation_budget_3750,evaluation_budget,3750.0,25,1.9406169918137253,0.0,1.6754222661955283,1.9406169918137255,0.0
evaluation_budget_3750,evaluation_budget,3750.0,26,2.218200980928021,0.0,2.842596865055384,2.218200980928021,0.0
evaluation_budget_3750,evaluation_budget,3750.0,27,1.9000621512377234,0.0,1.4058115378837102,1.9000621512377236,0.0
evaluation_budget_3750,evaluation_budget,3750.0,28,2.028443600484562,0.01100225169750786,2.8390242799010594,2.025980418950708,0.12157973052521195
evaluation_budget_3750,evaluation_budget,3750.0,29,2.5046248875629575,0.011496779562134005,5.729890442208853,2.4908832129936185,0.5516787980125291
evaluation_budget_3750,evaluation_budget,3750.0,30,1.9345015585953849,0.005639098081991727,3.460976435855264,1.9298467885369197,0.24119894315517587
evaporation_0.2,evaporation,0.2,1,1.7739991125114165,0.0,6.442112307151547,1.7739991125114167,0.0
evaporation_0.2,evaporation,0.2,2,2.279975082456949,0.0,6.472807224147255,2.279975082456949,0.0
evaporation_0.2,evaporation,0.2,3,2.5554615909469742,0.0,9.181326532049571,2.5554615909469742,0.0
evaporation_0.2,evaporation,0.2,4,2.1336019469882417,1.0117756687276167e-05,6.879860199493123,2.1335996845890683,0.00010603672233724987
evaporation_0.2,evaporation,0.2,5,1.8650742210238547,0.0,6.867907104396727,1.865074221023855,0.0
evaporation_0.2,evaporation,0.2,6,1.7564564612326241,0.0,6.343411274498794,1.756456461232624,1.2641623053338177e-14
evaporation_0.2,evaporation,0.2,7,1.8418822070973,0.0,4.521935986710014,1.8418822070973,0.0
evaporation_0.2,evaporation,0.2,8,2.4314289960780373,0.0,10.93225593281677,2.4314289960780373,0.0
evaporation_0.2,evaporation,0.2,9,2.4122006554120246,0.0,7.420345682202606,2.412200655412025,0.0
evaporation_0.2,evaporation,0.2,10,2.2877159254811588,0.008997606960142592,6.221154923632275,2.284792664659961,0.12794424922722877
evaporation_0.2,evaporation,0.2,11,2.726613172945443,0.04974033781629284,6.29965079560643,2.6881673361169907,1.4301876342261666
evaporation_0.2,evaporation,0.2,12,1.4308246233982753,0.009411492223170096,8.595103824604303,1.4260236853528467,0.3366660802860835
evaporation_0.2,evaporation,0.2,13,2.032525524775518,0.013711992897467511,6.295625365938759,2.026911186852802,0.2769898335522761
evaporation_0.2,evaporation,0.2,14,1.067134550587395,0.0,2.8101623313035815,1.067134550587395,0.0
evaporation_0.2,evaporation,0.2,15,2.112602871122433,0.0,5.228323396720225,2.112602871122433,0.0
evaporation_0.2,evaporation,0.2,16,2.1602192427953466,0.001414684189621898,9.758405497350031,2.159640501700675,0.026798029311641096
evaporation_0.2,evaporation,0.2,17,2.0100547196305705,0.0,3.9464280432031957,2.0100547196305705,0.0
evaporation_0.2,evaporation,0.2,18,2.7052757751641314,0.0,9.694069639290683,2.7052757751641314,0.0
evaporation_0.2,evaporation,0.2,19,1.908463713665149,0.0,3.382992445700802,1.908463713665149,0.0
evaporation_0.2,evaporation,0.2,20,2.1697468439523346,0.0,5.777259694051463,2.169746843952334,2.0467328300896403e-14
evaporation_0.2,evaporation,0.2,21,2.207342884706021,0.0,3.9686838289955633,2.207342884706021,0.0
evaporation_0.2,evaporation,0.2,22,0.6495626464756479,0.0,24.7222236393427,0.6495626464756483,0.0
evaporation_0.2,evaporation,0.2,23,2.01067302300028,0.0,2.3731789692887104,2.01067302300028,0.0
evaporation_0.2,evaporation,0.2,24,1.3508272334785483,0.0,2.3552745693537873,1.3508272334785485,0.0
evaporation_0.2,evaporation,0.2,25,1.9406169918137253,0.0,3.41258329290431,1.9406169918137255,0.0
evaporation_0.2,evaporation,0.2,26,2.218200980928021,0.0,5.852538531104801,2.218200980928021,0.0
evaporation_0.2,evaporation,0.2,27,1.9000621512377234,0.0,2.870764874864835,1.9000621512377236,0.0
evaporation_0.2,evaporation,0.2,28,2.025980418950708,0.0,5.796064958663192,2.025980418950708,0.0
evaporation_0.2,evaporation,0.2,29,2.492675024145578,0.006106467744049119,11.705587453750194,2.4908832129936185,0.0719347716750737
evaporation_0.2,evaporation,0.2,30,1.9347624271906934,0.006260253499959476,6.972215409314958,1.9298467885369197,0.2547165237661355
evaporation_0.8,evaporation,0.8,1,1.774558336171291,0.002500924236211637,6.407360584189883,1.7739991125114167,0.03152333368885921
evaporation_0.8,evaporation,0.8,2,2.279975082456949,0.0,6.405145587353036,2.279975082456949,0.0
