config_id,factor,value,task_id,seed,alpha,beta,evaporation,evaluation_budget,length_km,runtime_s,evaluations
alpha_0.5,alpha,0.5,12,7,0.5,2.0,0.5,7500,1.4263484665422361,8.327547973021865,7500
alpha_0.5,alpha,0.5,12,8,0.5,2.0,0.5,7500,1.4263484665422361,8.570586031069979,7500
alpha_0.5,alpha,0.5,12,9,0.5,2.0,0.5,7500,1.4263484665422361,8.334891596925445,7500
alpha_0.5,alpha,0.5,12,10,0.5,2.0,0.5,7500,1.4263484665422361,8.361579337040894,7500
alpha_0.5,alpha,0.5,12,11,0.5,2.0,0.5,7500,1.439743516359057,8.654327281052247,7500
alpha_0.5,alpha,0.5,12,12,0.5,2.0,0.5,7500,1.4260236853528467,8.530415027984418,7500
alpha_0.5,alpha,0.5,12,13,0.5,2.0,0.5,7500,1.4263484665422361,8.768608069047332,7500
alpha_0.5,alpha,0.5,12,14,0.5,2.0,0.5,7500,1.4263484665422361,8.666163097019307,7500
alpha_0.5,alpha,0.5,12,15,0.5,2.0,0.5,7500,1.4263484665422361,8.53962179098744,7500
alpha_0.5,alpha,0.5,12,16,0.5,2.0,0.5,7500,1.4260236853528467,8.596284633968025,7500
alpha_0.5,alpha,0.5,12,17,0.5,2.0,0.5,7500,1.4263484665422361,8.633261487004347,7500
alpha_0.5,alpha,0.5,12,18,0.5,2.0,0.5,7500,1.4263484665422361,8.64435636100825,7500
alpha_0.5,alpha,0.5,12,19,0.5,2.0,0.5,7500,1.4263484665422361,8.787856858922169,7500
alpha_0.5,alpha,0.5,13,0,0.5,2.0,0.5,7500,2.026911186852802,6.17175916605629,7500
alpha_0.5,alpha,0.5,13,1,0.5,2.0,0.5,7500,2.026911186852802,6.170406476943754,7500
alpha_0.5,alpha,0.5,13,2,0.5,2.0,0.5,7500,2.026911186852802,6.1603768391069025,7500
alpha_0.5,alpha,0.5,13,3,0.5,2.0,0.5,7500,2.026911186852802,6.14628657605499,7500
alpha_0.5,alpha,0.5,13,4,0.5,2.0,0.5,7500,2.026911186852802,6.125295854988508,7500
alpha_0.5,alpha,0.5,13,5,0.5,2.0,0.5,7500,2.026911186852802,6.262670399970375,7500
alpha_0.5,alpha,0.5,13,6,0.5,2.0,0.5,7500,2.026911186852802,6.216104093007743,7500
alpha_0.5,alpha,0.5,13,7,0.5,2.0,0.5,7500,2.026911186852802,6.133553990977816,7500
alpha_0.5,alpha,0.5,13,8,0.5,2.0,0.5,7500,2.026911186852802,6.133742685080506,7500
alpha_0.5,alpha,0.5,13,9,0.5,2.0,0.5,7500,2.026911186852802,6.323590242071077,7500
alpha_0.5,alpha,0.5,13,10,0.5,2.0,0.5,7500,2.026911186852802,6.145506338914856,7500
alpha_0.5,alpha,0.5,13,11,0.5,2.0,0.5,7500,2.026911186852802,6.372000373085029,7500
