task_id,method,length_km,length_sd,runtime_s,evaluations,n_runs
29,DE,2.7342945434854333,0.1959164784624097,0.8291313856781926,7500.0,20
29,NN+2opt,2.4908832129936185,0.0,0.0064004323561675305,614.0,20
29,PSO,3.383683677510708,0.3231705564734299,0.11863966115051876,7500.0,20
29,Portfolio,2.4908832129936185,0.0,9.293649635999463,23115.0,20
29,Raw,5.906719773987185,0.0,0.0003894889436196,1.0,20
30,ACO,1.9345015585953853,0.005639098081991491,5.109245397953782,7500.0,20
30,ACO×3,1.9324398768492876,0.0025449479422209914,15.130944117769833,22500.0,20
30,DE,1.9407599691848438,0.019449477798942995,0.8116042858629953,7500.0,20
30,NN+2opt,1.940785341729279,0.0,0.00220159954624245,281.0,20
30,PSO,2.14019731410281,0.18144586121408549,0.08732098914333614,7500.0,20
30,Portfolio,1.932192104049672,0.0030781303380875884,6.01054684058181,22782.0,20
30,Raw,2.24965223122239,0.0,0.00016646333970124998,1.0,20
1,CheapestInsertion,1.8864177600606795,0.0,0.0008380820509046,286.0,1
1,HeldKarpCheck,1.7739991125114165,0.0,0.0402293369406834,56331.0,1
1,NearestNeighbor,1.7851835857089084,0.0,0.0007791370153427,66.0,1
1,ReferenceExact,1.7739991125114167,0.0,0.018054645974189,0.0,1
2,CheapestInsertion,2.279975082456949,0.0,0.0008396909106522,286.0,1
2,HeldKarpCheck,2.279975082456949,0.0,0.0376513839000836,56331.0,1
2,NearestNeighbor,2.5940198825611454,0.0,0.0007537569617852,66.0,1
2,ReferenceExact,2.279975082456949,0.0,0.0153487849747762,0.0,1
3,CheapestInsertion,3.0063730726221536,0.0,0.0024736520135775,816.0,1
3,HeldKarpCheck,2.5554615909469742,0.0,2.1079156539635733,3932176.0,1
3,NearestNeighbor,2.624415439459998,0.0,0.0014679949963465,136.0,1
3,ReferenceExact,2.5554615909469742,0.0,0.0217730579897761,0.0,1
4,CheapestInsertion,2.171588037420876,0.0,0.0012972730910405,364.0,1
4,HeldKarpCheck,2.1335996845890683,0.0,0.0811653169803321,135180.0,1
4,NearestNeighbor,2.2047966114948,0.0,0.0012138800229877,78.0,1
4,ReferenceExact,2.1335996845890683,0.0,0.018420886946842,0.0,1
5,CheapestInsertion,1.9933933449249968,0.0,0.0013092929730191,364.0,1
5,HeldKarpCheck,1.865074221023855,0.0,0.0960960250813514,135180.0,1
5,NearestNeighbor,2.357657723544228,0.0,0.0011179159628227,78.0,1
5,ReferenceExact,1.865074221023855,0.0,0.010370226111263,0.0,1
6,CheapestInsertion,1.8107954783805316,0.0,0.0008045349968597,286.0,1
6,HeldKarpCheck,1.756456461232624,0.0,0.037286909064278,56331.0,1
6,NearestNeighbor,1.780281532237733,0.0,0.000805802992545,66.0,1
6,ReferenceExact,1.756456461232624,0.0,0.0130205990280956,0.0,1
7,CheapestInsertion,1.8632534169221024,0.0,0.0003985119983553,120.0,1
7,HeldKarpCheck,1.8418822070973,0.0,0.0056759240105748,3592.0,1
7,NearestNeighbor,1.979955122078796,0.0,0.0006008610362187,36.0,1
7,ReferenceExact,1.8418822070973,0.0,0.0145128750009462,0.0,1
8,CheapestInsertion,2.5092977523820537,0.0,0.0023744769860059,1330.0,1
8,NearestNeighbor,3.1720975038006007,0.0,0.0011966460151597,190.0,1
8,ReferenceExact,2.4314289960780373,0.0,0.0139088430441915,0.0,1
9,CheapestInsertion,2.587470410422966,0.0,0.0008820210350677,455.0,1
9,HeldKarpCheck,2.412200655412025,0.0,0.216239389963448,319501.0,1
9,NearestNeighbor,2.523589319395656,0.0,0.0006864420138299,91.0,1
9,ReferenceExact,2.412200655412025,0.0,0.0213047040160745,0.0,1
10,CheapestInsertion,2.488381709809749,0.0,0.0006502179894596,286.0,1
10,HeldKarpCheck,2.284792664659961,0.0,0.0501254110131412,56331.0,1
10,NearestNeighbor,2.436942079263676,0.0,0.0006251379381865,66.0,1
10,ReferenceExact,2.284792664659961,0.0,0.0143792319577187,0.0,1
11,CheapestInsertion,2.7824251038519114,0.0,0.0006196559406816,286.0,1
11,HeldKarpCheck,2.6881673361169907,0.0,0.0445658219978213,56331.0,1
11,NearestNeighbor,3.1072031556646302,0.0,0.0003277891082689,66.0,1
11,ReferenceExact,2.6881673361169907,0.0,0.0093448219122365,0.0,1
12,CheapestInsertion,1.428135312838,0.0,0.0011946070007979,680.0,1
12,HeldKarpCheck,1.4260236853528467,0.0,1.0214594589779151,1720335.0,1
12,NearestNeighbor,1.7725267319089468,0.0,0.0005393729079514,120.0,1
12,ReferenceExact,1.4260236853528467,0.0,0.0158158380072563,0.0,1
13,CheapestInsertion,2.1100247670775323,0.0,0.0005708209937438,286.0,1
13,HeldKarpCheck,2.026911186852802,0.0,0.0434624019544571,56331.0,1
13,NearestNeighbor,2.080079610501402,0.0,0.0003058820730075,66.0,1
13,ReferenceExact,2.026911186852802,0.0,0.0149915959918871,0.0,1
14,CheapestInsertion,1.0951009983883424,0.0,0.0001534549519419,35.0,1
14,HeldKarpCheck,1.067134550587395,0.0,0.0005093939835205,165.0,1
14,NearestNeighbor,1.0951009983883422,0.0,0.0001560390228405,15.0,1
14,ReferenceExact,1.067134550587395,0.0,0.0205826991004869,0.0,1
15,CheapestInsertion,2.112602871122433,0.0,0.0004645140143111,165.0,1
15,HeldKarpCheck,2.112602871122433,0.0,0.0098217419581487,9225.0,1
15,NearestNeighbor,2.20870257823344,0.0,0.0003109310055151,45.0,1
15,ReferenceExact,2.112602871122433,0.0,0.0144726759754121,0.0,1
16,CheapestInsertion,2.2570766590637583,0.0,0.0015881820581853,969.0,1
16,HeldKarpCheck,2.159640501700675,0.0,4.845359865925275,8912913.0,1
16,NearestNeighbor,2.3146727467173256,0.0,0.0006341950502246,153.0,1
16,ReferenceExact,2.159640501700675,0.0,0.0362472389824688,0.0,1
17,CheapestInsertion,2.185867979443395,0.0,0.0002313749864697,84.0,1
17,HeldKarpCheck,2.0100547196305705,0.0,0.0020287439692765,1351.0,1
17,NearestNeighbor,2.0100547196305705,0.0,0.0001735478872433,28.0,1
